[2018-10-10 15:46:07:0002] | CInterfaceManager.cpp-L4481: CamCtrl[2020004], GigE SDKVersion(1040004), DriverVersion(1040004)
[2018-10-10 15:46:07:0402] | CInterfaceManager.cpp-L1065: remalloc RecvBuf succeed, [26216448]
[2018-10-10 15:46:07:0433] | CInterfaceManager.cpp-L4168: Camctrl RecvThread Start, ThreadId[3044]
[2018-10-10 15:46:07:0433] | CInterfaceManager.cpp-L3998: Camctrl DisplayThread Start, ThreadId[7612]
[2018-10-10 15:46:07:0444] |         XmlParse.cpp-L2256: SetNodeValue [LineMode], [Failed to write enumeration value. Enum entry is not writable : AccessException thrown in node 'LineMode' while calling 'LineMode.SetIntValue()' (file 'Enumeration.cpp', line 149)]
[2018-10-10 15:46:07:0448] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-10-10 15:46:07:0452] |         XmlParse.cpp-L2398: SetNodeValue [ExposureTime], [Value 0.000000 must be greater than or equal 17.000000. : OutOfRangeException thrown in node 'ExposureTime' while calling 'ExposureTime.SetValue()' (file 'FloatT.h', line 85)]
[2018-10-10 15:46:56:0225] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-10-10 15:46:56:0228] |         XmlParse.cpp-L2398: SetNodeValue [ExposureTime], [Value 0.000000 must be greater than or equal 17.000000. : OutOfRangeException thrown in node 'ExposureTime' while calling 'ExposureTime.SetValue()' (file 'FloatT.h', line 85)]
[2018-10-10 15:46:57:0004] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-10-10 15:48:00:0867] | CInterfaceManager.cpp-L4308: RecvThreadProcess exit
[2018-10-10 15:48:00:0940] | CInterfaceManager.cpp-L4156: DisplayProcess exit
[2018-10-10 15:52:32:0570] | CInterfaceManager.cpp-L4481: CamCtrl[2020004], GigE SDKVersion(1040004), DriverVersion(1040004)
[2018-10-10 15:52:32:0973] | CInterfaceManager.cpp-L1065: remalloc RecvBuf succeed, [26216448]
[2018-10-10 15:52:33:0003] | CInterfaceManager.cpp-L4168: Camctrl RecvThread Start, ThreadId[1376]
[2018-10-10 15:52:33:0004] | CInterfaceManager.cpp-L3998: Camctrl DisplayThread Start, ThreadId[2964]
[2018-10-10 15:52:33:0014] |         XmlParse.cpp-L2256: SetNodeValue [LineMode], [Failed to write enumeration value. Enum entry is not writable : AccessException thrown in node 'LineMode' while calling 'LineMode.SetIntValue()' (file 'Enumeration.cpp', line 149)]
[2018-10-10 15:55:35:0713] | CInterfaceManager.cpp-L4308: RecvThreadProcess exit
[2018-10-10 15:55:35:0714] | CInterfaceManager.cpp-L4156: DisplayProcess exit
[2018-10-10 15:59:44:0585] | CInterfaceManager.cpp-L4481: CamCtrl[2020004], GigE SDKVersion(1040004), DriverVersion(1040004)
[2018-10-10 15:59:44:0974] | CInterfaceManager.cpp-L1065: remalloc RecvBuf succeed, [26216448]
[2018-10-10 15:59:45:0005] | CInterfaceManager.cpp-L4168: Camctrl RecvThread Start, ThreadId[8048]
[2018-10-10 15:59:45:0005] | CInterfaceManager.cpp-L3998: Camctrl DisplayThread Start, ThreadId[1216]
[2018-10-10 15:59:45:0016] |         XmlParse.cpp-L2256: SetNodeValue [LineMode], [Failed to write enumeration value. Enum entry is not writable : AccessException thrown in node 'LineMode' while calling 'LineMode.SetIntValue()' (file 'Enumeration.cpp', line 149)]
[2018-10-10 16:11:45:0594] | CInterfaceManager.cpp-L4308: RecvThreadProcess exit
[2018-10-10 16:11:45:0647] | CInterfaceManager.cpp-L4156: DisplayProcess exit
[2018-10-10 16:14:13:0878] | CInterfaceManager.cpp-L4481: CamCtrl[2020004], GigE SDKVersion(1040004), DriverVersion(1040004)
[2018-10-10 16:14:14:0268] | CInterfaceManager.cpp-L1065: remalloc RecvBuf succeed, [26216448]
[2018-10-10 16:14:14:0299] | CInterfaceManager.cpp-L4168: Camctrl RecvThread Start, ThreadId[7632]
[2018-10-10 16:14:14:0299] | CInterfaceManager.cpp-L3998: Camctrl DisplayThread Start, ThreadId[7360]
