[2018-10-10 15:46:07:0004] | GigEVisionManager.cpp-L0272: driver mode start!
[2018-10-10 15:46:07:0004] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2018-10-10 15:46:07:0004] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-10-10 15:46:07:0004] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-10-10 15:46:07:0004] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80001], hostPort[64713], devIP[c0a8000b]
[2018-10-10 15:46:07:0006] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80001], m_nUpDevIP[c0a8000b]
[2018-10-10 15:46:07:0006] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-10-10 15:46:07:0007] | GigEVisionManager.cpp-L2740: event thread start...
[2018-10-10 15:46:07:0259] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-10-10 15:46:07:0415] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2018-10-10 15:46:07:0424] | GigEVisionManager.cpp-L2632: GigE SendRsdCmdThread Start, ThreadId[1780]
[2018-10-10 15:48:00:0957] | GigEVisionManager.cpp-L2279: AppGetCount[1136], AppGetCountSucceed[3], ExpectRecv[3], NetRecv[3], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-10-10 15:48:00:0970] | GigEVisionManager.cpp-L2279: AppGetCount[1136], AppGetCountSucceed[3], ExpectRecv[3], NetRecv[3], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-10-10 15:48:00:0970] | GigEVisionManager.cpp-L0898: disconnect device ...
[2018-10-10 15:48:00:0983] | GigEVisionManager.cpp-L2279: AppGetCount[1136], AppGetCountSucceed[3], ExpectRecv[3], NetRecv[3], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-10-10 15:48:00:0983] | GigEVisionManager.cpp-L2678: SendRsdCmd thread stop
[2018-10-10 15:48:01:0043] | GigEVisionManager.cpp-L2811: event thread stop
[2018-10-10 15:48:01:0474] |   GigEVisionGVSP.cpp-L0416: [socket] NearBID[0], LastBID[0], output[0]
[2018-10-10 15:52:32:0572] | GigEVisionManager.cpp-L0272: driver mode start!
[2018-10-10 15:52:32:0572] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2018-10-10 15:52:32:0572] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-10-10 15:52:32:0572] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-10-10 15:52:32:0572] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80001], hostPort[64724], devIP[c0a8000b]
[2018-10-10 15:52:32:0574] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80001], m_nUpDevIP[c0a8000b]
[2018-10-10 15:52:32:0574] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-10-10 15:52:32:0575] | GigEVisionManager.cpp-L2740: event thread start...
[2018-10-10 15:52:32:0828] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-10-10 15:52:32:0985] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2018-10-10 15:52:32:0994] | GigEVisionManager.cpp-L2632: GigE SendRsdCmdThread Start, ThreadId[7540]
[2018-10-10 15:55:35:0731] | GigEVisionManager.cpp-L2279: AppGetCount[1827], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-10-10 15:55:35:0744] | GigEVisionManager.cpp-L2279: AppGetCount[1827], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-10-10 15:55:35:0744] | GigEVisionManager.cpp-L0898: disconnect device ...
[2018-10-10 15:55:35:0757] | GigEVisionManager.cpp-L2279: AppGetCount[1827], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-10-10 15:55:35:0757] | GigEVisionManager.cpp-L2678: SendRsdCmd thread stop
[2018-10-10 15:55:35:0799] | GigEVisionManager.cpp-L2811: event thread stop
[2018-10-10 15:55:36:0659] |   GigEVisionGVSP.cpp-L0416: [socket] NearBID[0], LastBID[0], output[0]
[2018-10-10 15:59:44:0587] | GigEVisionManager.cpp-L0272: driver mode start!
[2018-10-10 15:59:44:0587] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2018-10-10 15:59:44:0587] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-10-10 15:59:44:0587] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-10-10 15:59:44:0587] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80001], hostPort[64735], devIP[c0a8000b]
[2018-10-10 15:59:44:0588] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80001], m_nUpDevIP[c0a8000b]
[2018-10-10 15:59:44:0588] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
[2018-10-10 15:59:44:0590] | GigEVisionManager.cpp-L2740: event thread start...
[2018-10-10 15:59:44:0836] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80001]
